,attitude.roll,attitude.pitch,attitude.yaw,userAcceleration.x,userAcceleration.y,userAcceleration.z,act,id,weight,height,age,gender
678827,0.960436,-1.058458,1.158251,0.269888,-0.027057,0.08294,0.0,21.0,100.0,186.0,31.0,1.0
678828,0.999634,-1.089222,1.194643,0.087112,-0.129858,-0.168264,0.0,21.0,100.0,186.0,31.0,1.0
678829,1.042415,-1.111002,1.234495,-0.04205,0.044103,-0.177823,0.0,21.0,100.0,186.0,31.0,1.0
678830,1.079796,-1.123935,1.262053,-0.235202,0.066652,-0.382033,0.0,21.0,100.0,186.0,31.0,1.0
678831,1.083843,-1.126533,1.255087,-0.275196,-0.142353,-0.110917,0.0,21.0,100.0,186.0,31.0,1.0
678832,1.070399,-1.122906,1.230378,-0.249298,-0.121577,0.037557,0.0,21.0,100.0,186.0,31.0,1.0
678833,1.062967,-1.122413,1.212973,-0.24378200000000005,-0.155834,-0.191664,0.0,21.0,100.0,186.0,31.0,1.0
678834,1.0831879999999998,-1.130418,1.225877,-0.145589,-0.09473,0.072745,0.0,21.0,100.0,186.0,31.0,1.0
678835,1.105403,-1.144253,1.240749,-0.015222,0.325454,0.157451,0.0,21.0,100.0,186.0,31.0,1.0
678836,1.106519,-1.156486,1.238803,0.417057,0.301281,0.114379,0.0,21.0,100.0,186.0,31.0,1.0
678837,1.148059,-1.160007,1.272101,0.395978,0.261997,-0.251107,0.0,21.0,100.0,186.0,31.0,1.0
678838,1.1971889999999998,-1.161717,1.31456,0.06627000000000001,0.13941199999999998,0.153044,0.0,21.0,100.0,186.0,31.0,1.0
678839,1.221561,-1.166325,1.339969,-0.028381,0.05922,0.513332,0.0,21.0,100.0,186.0,31.0,1.0
678840,1.248744,-1.175514,1.363482,-0.07281,0.363764,0.072056,0.0,21.0,100.0,186.0,31.0,1.0
678841,1.226442,-1.190546,1.3484,0.23975900000000006,0.648165,-0.086392,0.0,21.0,100.0,186.0,31.0,1.0
678842,1.174863,-1.205055,1.295523,0.285624,0.614801,-0.094617,0.0,21.0,100.0,186.0,31.0,1.0
678843,1.160049,-1.207516,1.2701,-0.178115,0.029497,0.365133,0.0,21.0,100.0,186.0,31.0,1.0
678844,1.163489,-1.2106629999999998,1.270127,-0.251689,0.011553,0.340796,0.0,21.0,100.0,186.0,31.0,1.0
678845,1.180307,-1.219464,1.28289,-0.253518,0.180729,0.250438,0.0,21.0,100.0,186.0,31.0,1.0
678846,1.193285,-1.226909,1.290639,-0.03236,0.05880800000000001,0.212421,0.0,21.0,100.0,186.0,31.0,1.0
678847,1.200175,-1.232492,1.293405,0.058565,-0.046301,0.13330999999999998,0.0,21.0,100.0,186.0,31.0,1.0
678848,1.20653,-1.238353,1.300067,0.080221,-0.083599,0.136755,0.0,21.0,100.0,186.0,31.0,1.0
678849,1.219305,-1.245103,1.31061,0.074443,-0.150081,-0.08861799999999999,0.0,21.0,100.0,186.0,31.0,1.0
678850,1.221228,-1.251515,1.310482,-0.158656,-0.212172,-0.31279,0.0,21.0,100.0,186.0,31.0,1.0
678851,1.219722,-1.255046,1.307302,-0.162974,-0.22238400000000005,-0.28170100000000003,0.0,21.0,100.0,186.0,31.0,1.0
678852,1.216667,-1.25752,1.305208,-0.153679,-0.313649,0.024831,0.0,21.0,100.0,186.0,31.0,1.0
678853,1.214099,-1.26298,1.295328,-0.103686,-0.148112,0.096542,0.0,21.0,100.0,186.0,31.0,1.0
678854,1.2030299999999998,-1.271554,1.269494,-0.094863,-0.150674,0.096736,0.0,21.0,100.0,186.0,31.0,1.0
678855,1.170297,-1.2879969999999998,1.210338,0.15163800000000002,-0.08334,0.074744,0.0,21.0,100.0,186.0,31.0,1.0
678856,1.125343,-1.302856,1.1312799999999998,0.158887,-0.007989,0.06607400000000001,0.0,21.0,100.0,186.0,31.0,1.0
678857,1.090086,-1.3078809999999998,1.064282,0.167356,-0.009307,0.072181,0.0,21.0,100.0,186.0,31.0,1.0
678858,1.074088,-1.303965,1.028921,0.263809,-0.019879,-0.000884,0.0,21.0,100.0,186.0,31.0,1.0
678859,1.045867,-1.292623,0.992191,0.275556,-0.136821,0.024479,0.0,21.0,100.0,186.0,31.0,1.0
678860,1.004908,-1.274703,0.94808,0.285725,-0.018556,0.045033,0.0,21.0,100.0,186.0,31.0,1.0
678861,0.958745,-1.249893,0.902654,0.333322,0.270943,0.029531,0.0,21.0,100.0,186.0,31.0,1.0
678862,0.907195,-1.213734,0.854182,0.285986,0.536659,-0.11225999999999997,0.0,21.0,100.0,186.0,31.0,1.0
678863,0.8591719999999999,-1.16746,0.807996,0.13153,0.504239,-0.162615,0.0,21.0,100.0,186.0,31.0,1.0
678864,0.830791,-1.120417,0.780954,-0.183423,0.632494,-0.142562,0.0,21.0,100.0,186.0,31.0,1.0
678865,0.818938,-1.082509,0.77231,-0.224603,0.616786,0.109034,0.0,21.0,100.0,186.0,31.0,1.0
678866,0.818745,-1.054142,0.773953,-0.223745,0.434097,0.169906,0.0,21.0,100.0,186.0,31.0,1.0
678867,0.829551,-1.033265,0.783281,-0.224445,0.236392,0.178203,0.0,21.0,100.0,186.0,31.0,1.0
678868,0.847774,-1.020252,0.798184,-0.122606,0.244028,0.093547,0.0,21.0,100.0,186.0,31.0,1.0
678869,0.8620329999999999,-1.010494,0.810924,-0.208763,0.187573,0.112877,0.0,21.0,100.0,186.0,31.0,1.0
678870,0.8745569999999999,-1.003414,0.823333,-0.22243,0.066846,0.248522,0.0,21.0,100.0,186.0,31.0,1.0
678871,0.880774,-0.998483,0.83306,-0.252654,-0.099974,0.291197,0.0,21.0,100.0,186.0,31.0,1.0
678872,0.879359,-0.996958,0.836894,-0.321818,-0.111704,0.268619,0.0,21.0,100.0,186.0,31.0,1.0
678873,0.871618,-1.001906,0.837724,-0.4179600000000001,-0.305924,0.192155,0.0,21.0,100.0,186.0,31.0,1.0
678874,0.8597049999999999,-1.014082,0.8406950000000001,-0.437874,-0.396847,0.163114,0.0,21.0,100.0,186.0,31.0,1.0
678875,0.8509610000000001,-1.031929,0.851022,-0.386339,-0.4422140000000001,0.158999,0.0,21.0,100.0,186.0,31.0,1.0
678876,0.839483,-1.056993,0.855348,-0.274382,-0.390016,0.113089,0.0,21.0,100.0,186.0,31.0,1.0
678877,0.830925,-1.087329,0.8521700000000001,-0.272422,-0.458463,0.12775699999999998,0.0,21.0,100.0,186.0,31.0,1.0
678878,0.8273659999999999,-1.123788,0.8478700000000001,-0.048527,-0.337123,-0.027826,0.0,21.0,100.0,186.0,31.0,1.0
