,attitude.roll,attitude.pitch,attitude.yaw,userAcceleration.x,userAcceleration.y,userAcceleration.z,act,id,weight,height,age,gender
406004,2.889062,-1.031227,-1.691213,-0.031062,-0.180715,-0.540668,0.0,13.0,70.0,180.0,35.0,1.0
406005,2.833155,-1.072516,-1.753095,-0.069733,-0.263278,-0.448236,0.0,13.0,70.0,180.0,35.0,1.0
406006,2.757064,-1.117211,-1.821333,-0.212471,-0.32368600000000003,-0.364582,0.0,13.0,70.0,180.0,35.0,1.0
406007,2.663619,-1.16943,-1.90073,-0.405869,-0.607921,-0.289993,0.0,13.0,70.0,180.0,35.0,1.0
406008,2.528713,-1.2185549999999998,-2.012861,-0.279708,-0.8336520000000001,-0.287063,0.0,13.0,70.0,180.0,35.0,1.0
406009,2.346066,-1.2534299999999998,-2.139819,-0.221605,-0.820407,-0.41582,0.0,13.0,70.0,180.0,35.0,1.0
406010,2.178617,-1.275377,-2.229043,-0.553037,-0.644516,-0.243489,0.0,13.0,70.0,180.0,35.0,1.0
406011,2.169101,-1.305304,-2.200192,-0.775095,-0.34094,0.672862,0.0,13.0,70.0,180.0,35.0,1.0
406012,2.439007,-1.332303,-2.027706,-0.812766,-0.24983200000000005,1.878257,0.0,13.0,70.0,180.0,35.0,1.0
406013,2.496736,-1.343821,-1.992325,0.06565,-0.866289,-0.664262,0.0,13.0,70.0,180.0,35.0,1.0
406014,2.416258,-1.354932,-2.063321,0.307753,-0.5878909999999999,-0.430157,0.0,13.0,70.0,180.0,35.0,1.0
406015,2.357479,-1.279906,-2.053383,0.994526,1.7026709999999998,0.735857,0.0,13.0,70.0,180.0,35.0,1.0
406016,2.348224,-1.182642,-1.98725,1.027628,2.068959,1.6898369999999998,0.0,13.0,70.0,180.0,35.0,1.0
406017,2.4972,-1.178597,-1.899701,-0.032492,-0.338865,0.140167,0.0,13.0,70.0,180.0,35.0,1.0
406018,2.653451,-1.166051,-1.821227,-0.334612,0.332323,0.16456800000000002,0.0,13.0,70.0,180.0,35.0,1.0
406019,2.735375,-1.105318,-1.756293,-0.167653,2.151453,1.182923,0.0,13.0,70.0,180.0,35.0,1.0
406020,2.828695,-1.034384,-1.650669,-0.016304,3.238704,0.060589,0.0,13.0,70.0,180.0,35.0,1.0
406021,2.908898,-0.965518,-1.556853,0.956162,0.055509,-1.185231,0.0,13.0,70.0,180.0,35.0,1.0
406022,2.916178,-0.907442,-1.520122,1.010122,-0.632322,-0.69929,0.0,13.0,70.0,180.0,35.0,1.0
406023,2.911195,-0.884157,-1.519842,0.712454,-1.225804,0.10594,0.0,13.0,70.0,180.0,35.0,1.0
406024,2.901502,-0.901454,-1.5494709999999998,0.157222,-0.193745,-0.314494,0.0,13.0,70.0,180.0,35.0,1.0
406025,2.889374,-0.941046,-1.595728,0.118073,-0.256676,-0.383357,0.0,13.0,70.0,180.0,35.0,1.0
406026,2.856656,-0.994582,-1.652983,-0.114398,-0.356003,-0.401621,0.0,13.0,70.0,180.0,35.0,1.0
406027,2.792104,-1.059464,-1.7288279999999998,-0.22841,-0.26693,-0.34986300000000004,0.0,13.0,70.0,180.0,35.0,1.0
406028,2.6838,-1.133676,-1.841555,-0.245098,-0.263549,-0.296321,0.0,13.0,70.0,180.0,35.0,1.0
406029,2.511056,-1.199717,-2.011529,-0.072558,0.09115,-0.195831,0.0,13.0,70.0,180.0,35.0,1.0
