index,attitude.roll,attitude.pitch,attitude.yaw,userAcceleration.x,userAcceleration.y,userAcceleration.z,act,id,weight,height,age,gender
192582,0.602232,-1.176033,-0.279871,-0.047604,-0.18856,-0.115294,0.0,6.0,62.0,175.0,30.0,0.0
192583,0.621863,-1.192802,-0.261036,-0.130107,-0.77955,0.062583,0.0,6.0,62.0,175.0,30.0,0.0
192584,0.608809,-1.213846,-0.268921,-0.029783,-0.837159,0.022063,0.0,6.0,62.0,175.0,30.0,0.0
192585,0.574745,-1.244896,-0.29027600000000003,0.026883,-0.712591,0.02824,0.0,6.0,62.0,175.0,30.0,0.0
192586,0.541574,-1.279399,-0.30600900000000003,-0.0118,-0.309162,0.030919,0.0,6.0,62.0,175.0,30.0,0.0
192587,0.5218430000000001,-1.3112,-0.306706,0.065881,-0.101961,-0.067748,0.0,6.0,62.0,175.0,30.0,0.0
192588,0.519334,-1.341199,-0.289275,0.220915,0.153027,-0.14244,0.0,6.0,62.0,175.0,30.0,0.0
192589,0.52992,-1.366594,-0.262031,-0.001789,0.045039,0.101403,0.0,6.0,62.0,175.0,30.0,0.0
192590,0.563526,-1.386659,-0.218589,-0.152274,-0.039735,0.16253,0.0,6.0,62.0,175.0,30.0,0.0
192591,0.6049640000000001,-1.40192,-0.169376,-0.5317390000000001,0.026753,0.033041,0.0,6.0,62.0,175.0,30.0,0.0
192592,0.670601,-1.418819,-0.097874,-0.260869,0.070853,0.115149,0.0,6.0,62.0,175.0,30.0,0.0
192593,0.74922,-1.431916,-0.016572999999999997,-0.101749,0.027771,0.296329,0.0,6.0,62.0,175.0,30.0,0.0
192594,0.78847,-1.440608,0.023392,-0.037318,0.113596,0.382747,0.0,6.0,62.0,175.0,30.0,0.0
192595,0.682975,-1.441134,-0.069262,-0.002412,0.577059,0.133257,0.0,6.0,62.0,175.0,30.0,0.0
192596,0.5854229999999999,-1.44321,-0.148812,-0.084534,1.47462,-0.37582,0.0,6.0,62.0,175.0,30.0,0.0
192597,0.5983470000000001,-1.459216,-0.132501,0.246053,0.423394,0.345466,0.0,6.0,62.0,175.0,30.0,0.0
192598,0.703658,-1.450269,-0.039888,0.620934,-0.293862,-0.13248900000000002,0.0,6.0,62.0,175.0,30.0,0.0
192599,0.7783100000000001,-1.4395639999999998,0.020353,0.091628,-0.377571,-0.12979100000000002,0.0,6.0,62.0,175.0,30.0,0.0
192600,0.8860389999999999,-1.442034,0.131303,0.035898,-0.43885,0.084898,0.0,6.0,62.0,175.0,30.0,0.0
192601,0.945828,-1.447632,0.200457,0.010078,-0.211785,0.028304000000000006,0.0,6.0,62.0,175.0,30.0,0.0
192602,1.016417,-1.451805,0.269916,-0.100701,-0.114816,-0.005268,0.0,6.0,62.0,175.0,30.0,0.0
192603,1.115803,-1.45449,0.361901,-0.102755,-0.107227,-0.084388,0.0,6.0,62.0,175.0,30.0,0.0
192604,1.138537,-1.454805,0.37395,-0.056163,-0.075831,-0.114322,0.0,6.0,62.0,175.0,30.0,0.0
192605,1.107802,-1.454723,0.33570500000000003,-0.004877,-0.363861,0.038701,0.0,6.0,62.0,175.0,30.0,0.0
192606,1.094589,-1.453767,0.316249,-0.010322,-0.381527,0.019702,0.0,6.0,62.0,175.0,30.0,0.0
192607,1.076191,-1.452878,0.289294,-0.013103,-0.14391900000000002,-0.13751,0.0,6.0,62.0,175.0,30.0,0.0
192608,1.020025,-1.452762,0.224036,0.11150999999999997,0.07077,0.0077090000000000014,0.0,6.0,62.0,175.0,30.0,0.0
192609,0.937275,-1.450146,0.13581700000000002,0.346663,-0.002527,0.039119,0.0,6.0,62.0,175.0,30.0,0.0
192610,0.854929,-1.441194,0.05007,0.237476,-0.122335,0.098995,0.0,6.0,62.0,175.0,30.0,0.0
192611,0.795687,-1.426975,-0.008398000000000001,0.077164,-0.263144,0.314947,0.0,6.0,62.0,175.0,30.0,0.0
192612,0.711025,-1.400361,-0.091734,-0.034921,-0.34542,0.379647,0.0,6.0,62.0,175.0,30.0,0.0
192613,0.607087,-1.359121,-0.192842,-0.301261,-0.422917,0.2128,0.0,6.0,62.0,175.0,30.0,0.0
192614,0.539986,-1.30967,-0.262094,-0.305227,0.000224,-0.119271,0.0,6.0,62.0,175.0,30.0,0.0
192615,0.529402,-1.261095,-0.287043,-0.233808,0.173537,0.033433,0.0,6.0,62.0,175.0,30.0,0.0
192616,0.535148,-1.217692,-0.285874,0.090556,0.336995,0.224707,0.0,6.0,62.0,175.0,30.0,0.0
192617,0.5412279999999999,-1.179838,-0.28386300000000003,0.096493,1.6344610000000002,-0.488137,0.0,6.0,62.0,175.0,30.0,0.0
192618,0.592122,-1.17018,-0.265119,0.122262,1.546602,-0.395465,0.0,6.0,62.0,175.0,30.0,0.0
192619,0.611313,-1.17491,-0.250719,-0.012767,0.506742,-0.329862,0.0,6.0,62.0,175.0,30.0,0.0
192620,0.621496,-1.185448,-0.238316,0.08217,-0.187089,-0.040677,0.0,6.0,62.0,175.0,30.0,0.0
192621,0.627703,-1.201053,-0.236081,-0.032298,-0.110246,-0.07839299999999999,0.0,6.0,62.0,175.0,30.0,0.0
192622,0.62127,-1.227951,-0.245088,0.036812,0.129121,-0.087781,0.0,6.0,62.0,175.0,30.0,0.0
192623,0.617751,-1.268957,-0.25685,-0.060243,0.147946,0.02825,0.0,6.0,62.0,175.0,30.0,0.0
192624,0.611934,-1.308138,-0.270418,-0.251967,-0.171376,0.018803,0.0,6.0,62.0,175.0,30.0,0.0
192625,0.602577,-1.337593,-0.278904,-0.210549,-0.606491,0.125113,0.0,6.0,62.0,175.0,30.0,0.0
192626,0.575167,-1.364934,-0.308114,-0.16565,-0.893497,0.114373,0.0,6.0,62.0,175.0,30.0,0.0
192627,0.486232,-1.393382,-0.392426,0.157538,-1.394826,0.071688,0.0,6.0,62.0,175.0,30.0,0.0
192628,0.370183,-1.417316,-0.504456,0.400169,-1.232935,0.252361,0.0,6.0,62.0,175.0,30.0,0.0
192629,0.399206,-1.437571,-0.473191,0.62617,-1.159504,0.013122,0.0,6.0,62.0,175.0,30.0,0.0
192630,0.697749,-1.453022,-0.154353,0.013627,-0.939102,-0.54408,0.0,6.0,62.0,175.0,30.0,0.0
192631,0.943765,-1.435193,0.096196,-0.778361,0.4668060000000001,0.458311,0.0,6.0,62.0,175.0,30.0,0.0
192632,0.96929,-1.42479,0.15701600000000002,-0.65751,1.091466,0.386385,0.0,6.0,62.0,175.0,30.0,0.0
192633,0.906249,-1.434391,0.128686,-0.486108,1.582302,0.039373000000000005,0.0,6.0,62.0,175.0,30.0,0.0
192634,0.975849,-1.448015,0.180338,-0.255973,2.445913,0.669539,0.0,6.0,62.0,175.0,30.0,0.0
192635,0.972486,-1.442439,0.12736199999999998,0.643266,-0.208555,0.195519,0.0,6.0,62.0,175.0,30.0,0.0
192636,0.802088,-1.400709,-0.069289,0.722527,-0.42629,0.120234,0.0,6.0,62.0,175.0,30.0,0.0
192637,0.784975,-1.3798700000000002,-0.119896,0.247087,-1.147158,-0.164881,0.0,6.0,62.0,175.0,30.0,0.0
192638,0.7031569999999999,-1.353365,-0.207142,0.182824,0.288773,-0.293292,0.0,6.0,62.0,175.0,30.0,0.0
192639,0.605406,-1.314678,-0.300997,0.35576,0.803875,-0.16484,0.0,6.0,62.0,175.0,30.0,0.0
192640,0.638285,-1.283125,-0.268395,0.016472999999999998,-0.089156,0.361188,0.0,6.0,62.0,175.0,30.0,0.0
192641,0.6771,-1.243977,-0.237571,-0.444941,-0.378282,0.151651,0.0,6.0,62.0,175.0,30.0,0.0
192642,0.687813,-1.2037870000000002,-0.243954,-0.537948,-0.230997,0.188174,0.0,6.0,62.0,175.0,30.0,0.0
192643,0.674349,-1.16196,-0.272975,-0.304798,0.153079,0.132911,0.0,6.0,62.0,175.0,30.0,0.0
192644,0.6491319999999999,-1.122269,-0.301318,-0.136888,0.212439,0.213634,0.0,6.0,62.0,175.0,30.0,0.0
