Timestamp,Milliseconds,Millibars
2019-10-26 22:35:35,3,1018.5383
2019-10-26 22:35:36,1000,1018.5449
2019-10-26 22:35:37,2000,1018.5105
2019-10-26 22:35:38,3001,1018.54224
2019-10-26 22:35:39,4000,1018.55835
2019-10-26 22:35:40,5000,1018.5083
2019-10-26 22:35:41,6000,1018.50684
2019-10-26 22:35:42,7000,1018.5449
2019-10-26 22:35:43,8000,1018.5552
2019-10-26 22:35:44,9001,1018.5364
2019-10-26 22:35:45,10002,1018.53735
2019-10-26 22:35:46,11000,1018.5237
2019-10-26 22:35:47,12000,1018.52734
2019-10-26 22:35:48,13001,1018.5242
2019-10-26 22:35:49,14000,1018.5408
2019-10-26 22:35:50,15000,1018.5349
2019-10-26 22:35:51,16000,1018.5288
2019-10-26 22:35:52,17000,1018.54297
2019-10-26 22:35:53,18000,1018.55347
2019-10-26 22:35:54,19000,1018.5183
2019-10-26 22:35:55,20001,1018.53125
2019-10-26 22:35:56,21000,1018.52954
2019-10-26 22:35:57,22000,1018.5315
2019-10-26 22:35:58,23000,1018.53906
2019-10-26 22:35:59,24001,1018.5342
2019-10-26 22:36:00,25000,1018.54565
2019-10-26 22:36:01,26001,1018.5476
2019-10-26 22:36:02,27000,1018.5388
2019-10-26 22:36:03,28000,1018.54395
2019-10-26 22:36:04,29000,1018.5388
2019-10-26 22:36:05,30001,1018.5598
2019-10-26 22:36:06,31000,1018.55786
2019-10-26 22:36:07,32000,1018.55493
2019-10-26 22:36:08,33000,1018.5615
2019-10-26 22:36:09,34001,1018.574
2019-10-26 22:36:10,35000,1018.563
2019-10-26 22:36:11,36000,1018.5625
2019-10-26 22:36:12,37000,1018.56934
2019-10-26 22:36:13,38001,1018.5581
2019-10-26 22:36:14,39000,1018.5608
2019-10-26 22:36:15,40000,1018.55884
2019-10-26 22:36:16,41001,1018.5491
2019-10-26 22:36:17,42000,1018.56177
2019-10-26 22:36:18,43000,1018.5449
2019-10-26 22:36:19,44001,1018.5488
2019-10-26 22:36:20,45000,1018.5647
2019-10-26 22:36:21,46000,1018.54956
2019-10-26 22:36:22,47000,1018.5598
2019-10-26 22:36:23,48001,1018.55493
2019-10-26 22:36:24,49000,1018.5801
2019-10-26 22:36:25,50000,1018.5591
2019-10-26 22:36:26,51001,1018.5515
2019-10-26 22:36:27,52000,1018.5344
2019-10-26 22:36:28,53000,1018.52466
2019-10-26 22:36:29,54000,1018.5364
2019-10-26 22:36:30,55000,1018.5266
2019-10-26 22:36:31,56001,1018.52637
2019-10-26 22:36:32,57000,1018.5154
