Timestamp,Milliseconds,Millibars
2019-10-27 16:06:15,0,991.86816
2019-10-27 16:06:16,1001,991.85474
2019-10-27 16:06:17,2000,991.8384
2019-10-27 16:06:18,3000,991.8533
2019-10-27 16:06:19,4000,991.84375
2019-10-27 16:06:20,5000,991.84546
2019-10-27 16:06:21,6001,991.84595
2019-10-27 16:06:22,7000,991.8445
2019-10-27 16:06:23,8000,991.8506
2019-10-27 16:06:24,9000,991.85986
2019-10-27 16:06:25,10001,991.86304
2019-10-27 16:06:26,11000,991.8811
2019-10-27 16:06:27,12000,991.8723
2019-10-27 16:06:28,13000,991.8657
2019-10-27 16:06:29,14001,991.8689
2019-10-27 16:06:30,15000,991.8728
2019-10-27 16:06:31,16000,991.87256
2019-10-27 16:06:32,17000,991.845
2019-10-27 16:06:33,18000,991.8635
2019-10-27 16:06:34,19000,991.86475
2019-10-27 16:06:35,20001,991.8596
2019-10-27 16:06:36,21000,991.8721
2019-10-27 16:06:37,22000,991.8489
2019-10-27 16:06:38,23000,991.8474
2019-10-27 16:06:39,24000,991.85156
2019-10-27 16:06:40,25001,991.8384
2019-10-27 16:06:41,26000,991.8635
2019-10-27 16:06:42,27000,991.8579
2019-10-27 16:06:43,28000,991.8364
2019-10-27 16:06:44,29001,991.84424
2019-10-27 16:06:45,30000,991.85815
2019-10-27 16:06:46,31000,991.84644
2019-10-27 16:06:47,32000,991.843
2019-10-27 16:06:48,33000,991.8462
2019-10-27 16:06:49,34001,991.85254
2019-10-27 16:06:50,35000,991.855
2019-10-27 16:06:51,36002,991.8423
2019-10-27 16:06:52,37000,991.8474
2019-10-27 16:06:53,38000,991.84546
2019-10-27 16:06:54,39001,991.8535
2019-10-27 16:06:55,40000,991.85254
2019-10-27 16:06:56,41000,991.84766
2019-10-27 16:06:57,42000,991.8479
2019-10-27 16:06:58,43001,991.8579
2019-10-27 16:06:59,44000,991.84985
2019-10-27 16:07:00,45000,991.8413
2019-10-27 16:07:01,46000,991.8484
2019-10-27 16:07:02,47000,991.8606
2019-10-27 16:07:03,48001,991.8579
2019-10-27 16:07:04,49000,991.85767
2019-10-27 16:07:05,50000,991.8645
2019-10-27 16:07:06,51001,991.8574
2019-10-27 16:07:07,52000,991.85645
2019-10-27 16:07:08,53000,991.86426
2019-10-27 16:07:09,54000,991.8562
2019-10-27 16:07:10,55001,991.8721
2019-10-27 16:07:11,56000,991.8655
2019-10-27 16:07:12,57001,991.8533
2019-10-27 16:07:13,58000,991.85474
2019-10-27 16:07:14,59000,991.8596
2019-10-27 16:07:15,60000,991.85986
2019-10-27 16:07:16,61000,991.86426
2019-10-27 16:07:17,62001,991.87305
2019-10-27 16:07:18,63000,991.86304
2019-10-27 16:07:19,64001,991.85815
2019-10-27 16:07:20,65000,991.86206
2019-10-27 16:07:21,66000,991.84204
2019-10-27 16:07:22,67001,991.84595
2019-10-27 16:07:23,68000,991.8396
2019-10-27 16:07:24,69000,991.8645
2019-10-27 16:07:25,70000,991.8491
2019-10-27 16:07:26,71001,991.84937
2019-10-27 16:07:27,72001,991.8579
2019-10-27 16:07:28,73000,991.8567
2019-10-27 16:07:29,74000,991.8533
2019-10-27 16:07:30,75000,991.8811
2019-10-27 16:07:31,76000,991.865
2019-10-27 16:07:32,77000,991.85815
2019-10-27 16:07:33,78000,991.86475
2019-10-27 16:07:34,79001,991.8635
2019-10-27 16:07:35,80000,991.86255
2019-10-27 16:07:36,81000,991.864
