Timestamp,Milliseconds,Latitude,Longitude,Altitude
2019-10-26 22:35:35,0,25.09002,121.521712,21.80000114440918
2019-10-26 22:35:36,1001,25.09002,121.521712,21.80000114440918
2019-10-26 22:35:37,2000,25.09002,121.521712,21.80000114440918
2019-10-26 22:35:38,3000,25.09002,121.521712,21.80000114440918
2019-10-26 22:35:39,4000,25.09002,121.521712,21.80000114440918
2019-10-26 22:35:40,5001,25.089949,121.5217076,21.100000381469727
2019-10-26 22:35:41,6000,25.089949,121.5217076,21.100000381469727
2019-10-26 22:35:42,7000,25.089949,121.5217076,21.100000381469727
2019-10-26 22:35:43,8001,25.089949,121.5217076,21.100000381469727
2019-10-26 22:35:44,9002,25.089949,121.5217076,21.100000381469727
2019-10-26 22:35:45,10000,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:46,11000,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:47,12000,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:48,13000,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:49,14001,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:50,15000,25.0899922,121.5217159,21.80000114440918
2019-10-26 22:35:51,16000,25.090005,121.5217189,21.80000114440918
2019-10-26 22:35:52,17000,25.090005,121.5217189,21.80000114440918
2019-10-26 22:35:53,18000,25.090005,121.5217189,21.80000114440918
2019-10-26 22:35:54,19001,25.090005,121.5217189,21.80000114440918
2019-10-26 22:35:55,20000,25.090005,121.5217189,21.80000114440918
2019-10-26 22:35:56,21000,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:35:57,22001,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:35:58,23000,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:35:59,24001,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:36:00,25000,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:36:01,26001,25.0900085,121.5217152,21.80000114440918
2019-10-26 22:36:02,27000,25.0899978,121.5217186,21.80000114440918
2019-10-26 22:36:03,28000,25.0899978,121.5217186,21.80000114440918
2019-10-26 22:36:04,29000,25.0899978,121.5217186,21.80000114440918
2019-10-26 22:36:05,30000,25.0899978,121.5217186,21.80000114440918
2019-10-26 22:36:06,31001,25.0899978,121.5217186,21.80000114440918
